"https://tienda.mercadona.es/product/10224/leche-condensada-entera-nutricia-bote","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche condensada entera Nutricia","Bote","2.20","2.200","kg","2022-12-07","10224"
"https://tienda.mercadona.es/product/10226/fruta-leche-mediterraneo-hacendado-brick","zumos_fruta_variada","Fruta + leche Mediterráneo Hacendado","Brick","0.90","0.900","l","2022-12-07","10226"
"https://tienda.mercadona.es/product/10231/fruta-leche-tropical-hacendado-brick","zumos_fruta_variada","Fruta + leche tropical Hacendado","Brick","0.90","0.900","l","2022-12-07","10231"
"https://tienda.mercadona.es/product/10246/fruta-leche-melon-sandia-hacendado-brick","zumos_fruta_variada","Fruta + leche melón y sandía Hacendado","Brick","1.15","1.150","l","2022-12-07","10246"
"https://tienda.mercadona.es/product/10275/nata-montar-hacendado-pack-3","huevos_leche_y_mantequilla_mantequilla_y_margarina","Nata para montar Hacendado","Pack-3","1.95","3.250","l","2022-12-07","10275"
"https://tienda.mercadona.es/product/10276/nata-montar-hacendado-brick","huevos_leche_y_mantequilla_mantequilla_y_margarina","Nata para montar Hacendado","Brick","1.65","3.300","l","2022-12-07","10276"
"https://tienda.mercadona.es/product/10281/bebida-lactea-omega-3-puleva-con-nueces-leche-desnatada-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida láctea Omega 3 Puleva con nueces y leche desnatada","Pack-6","11.10","1.850","l","2022-12-07","10281"
"https://tienda.mercadona.es/product/10282/bebida-lactea-omega-3-puleva-con-nueces-leche-desnatada-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Bebida láctea Omega 3 Puleva con nueces y leche desnatada","Brick","1.85","1.850","l","2022-12-07","10282"
"https://tienda.mercadona.es/product/10286/dulce-leche-chimbote-tarro","azucar_caramelos_y_chocolate_chocolate","Dulce de leche Chimbote","Tarro","2.75","6.396","kg","2022-12-07","10286"
"https://tienda.mercadona.es/product/10314/horchata-fresca-hacendado-botella","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Horchata fresca Hacendado","Botella","2.00","2.667","l","2022-12-07","10314"
"https://tienda.mercadona.es/product/10320/nata-ligera-cocinar-sin-lactosa-hacendado-pack-3","huevos_leche_y_mantequilla_mantequilla_y_margarina","Nata ligera para cocinar sin lactosa Hacendado","Pack-3","2.40","4.000","l","2022-12-07","10320"
"https://tienda.mercadona.es/product/10350/cafe-capsula-extra-fuerte-hacendado-compatibles-maquinas-nespresso-caja","cacao_cafe_e_infusiones_cafe_capsula_y_monodosis","Café en cápsula extra fuerte Hacendado","Caja","3.40","32.693","kg","2022-12-07","10350"
"https://tienda.mercadona.es/product/10351/cafe-capsula-ristretto-hacendado-compatibles-maquinas-nespresso-caja","cacao_cafe_e_infusiones_cafe_capsula_y_monodosis","Café en cápsula ristretto Hacendado","Caja","3.40","32.076","kg","2022-12-07","10351"
"https://tienda.mercadona.es/product/10352/cafe-capsula-espresso-hacendado-compatibles-maquinas-nespresso-caja","cacao_cafe_e_infusiones_cafe_capsula_y_monodosis","Café en cápsula espresso Hacendado","Caja","3.40","32.693","kg","2022-12-07","10352"
"https://tienda.mercadona.es/product/10353/cafe-capsula-doble-espresso-hacendado-compatibles-maquinas-nespresso-caja","cacao_cafe_e_infusiones_cafe_capsula_y_monodosis","Café en cápsula doble espresso Hacendado","Caja","3.40","30.910","kg","2022-12-07","10353"
"https://tienda.mercadona.es/product/10354/cafe-capsula-colombia-hacendado-compatibles-maquinas-nespresso-caja","cacao_cafe_e_infusiones_cafe_capsula_y_monodosis","Café en cápsula Colombia Hacendado","Caja","3.45","33.174","kg","2022-12-07","10354"
"https://tienda.mercadona.es/product/10355/cafe-capsula-descafeinado-hacendado-compatibles-maquinas-nespresso-caja","cacao_cafe_e_infusiones_cafe_capsula_y_monodosis","Café en cápsula descafeinado Hacendado","Caja","3.40","32.693","kg","2022-12-07","10355"
"https://tienda.mercadona.es/product/10357/leche-condensada-desnatada-nutricia-sin-lactosa-bote","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche condensada desnatada Nutricia sin lactosa","Bote","3.00","6.667","kg","2022-12-07","10357"
"https://tienda.mercadona.es/product/10361/horchata-fresca-hacendado-vaso","cacao_cafe_e_infusiones_cafe_soluble_y_otras_bebidas","Horchata fresca Hacendado","Vaso","0.95","3.800","l","2022-12-07","10361"
"https://tienda.mercadona.es/product/10362/fruta-leche-tropical-bifrutas-pascual-pack-3","zumos_fruta_variada","Fruta + leche tropical Bifrutas","Pack-3","2.39","2.415","l","2022-12-07","10362"
"https://tienda.mercadona.es/product/10376/crema-soja-hacendado-brick","huevos_leche_y_mantequilla_mantequilla_y_margarina","Crema de soja Hacendado","Brick","1.00","5.000","l","2022-12-07","10376"
"https://tienda.mercadona.es/product/10379/leche-entera-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera Hacendado","Pack-6","5.70","0.950","l","2022-12-07","10379"
"https://tienda.mercadona.es/product/10380/leche-entera-hacendado-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera Hacendado","Brick","0.95","0.950","l","2022-12-07","10380"
"https://tienda.mercadona.es/product/10381/leche-semidesnatada-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada Hacendado","Pack-6","5.64","0.940","l","2022-12-07","10381"
"https://tienda.mercadona.es/product/10382/leche-semidesnatada-hacendado-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada Hacendado","Brick","0.94","0.940","l","2022-12-07","10382"
"https://tienda.mercadona.es/product/10383/leche-desnatada-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada Hacendado","Pack-6","5.58","0.930","l","2022-12-07","10383"
"https://tienda.mercadona.es/product/10384/leche-desnatada-hacendado-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada Hacendado","Brick","0.93","0.930","l","2022-12-07","10384"
"https://tienda.mercadona.es/product/10414/leche-polvo-desnatada-paquete","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche en polvo desnatada","Paquete","4.95","7.072","kg","2022-12-07","10414"
"https://tienda.mercadona.es/product/10449/crema-leche-cafe-campina-paquete","cacao_cafe_e_infusiones_cafe_soluble_y_otras_bebidas","Crema de leche para café Campina","Paquete","1.10","5.500","l","2022-12-07","10449"
"https://tienda.mercadona.es/product/10453/mini-burgers-vacuno-cerdo-bandeja","carne_hamburguesas_y_picadas","Mini burgers de vacuno y cerdo","Bandeja","2.44","8.715","kg","2022-12-07","10453"
"https://tienda.mercadona.es/product/10459/masa-filo-hacendado-8-10-hojas-paquete","panaderia_y_pasteleria_harina_y_preparado_reposteria","Masa filo Hacendado","Paquete","1.90","7.600","kg","2022-12-07","10459"
"https://tienda.mercadona.es/product/10467/mini-burgers-pollo-bandeja","carne_hamburguesas_y_picadas","Mini burgers de pollo","Bandeja","2.45","8.750","kg","2022-12-07","10467"
"https://tienda.mercadona.es/product/10502/leche-semidesnatada-asturiana-botella","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada Asturiana","Botella","1.65","1.100","l","2022-12-07","10502"
"https://tienda.mercadona.es/product/10504/leche-entera-asturiana-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera Asturiana","Pack-6","9.90","1.100","l","2022-12-07","10504"
"https://tienda.mercadona.es/product/10505/leche-semidesnatada-asturiana-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada Asturiana","Pack-6","9.90","1.100","l","2022-12-07","10505"
"https://tienda.mercadona.es/product/10506/leche-entera-asturiana-botella","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera Asturiana","Botella","1.65","1.100","l","2022-12-07","10506"
"https://tienda.mercadona.es/product/10516/leche-desnatada-asturiana-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada Asturiana","Pack-6","9.90","1.100","l","2022-12-07","10516"
"https://tienda.mercadona.es/product/10533/leche-entera-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera Hacendado","Pack-6","8.64","0.960","l","2022-12-07","10533"
"https://tienda.mercadona.es/product/10540/leche-entera-hacendado-botella","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera Hacendado","Botella","1.44","0.960","l","2022-12-07","10540"
"https://tienda.mercadona.es/product/10541/leche-semidesnatada-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada Hacendado","Pack-6","8.58","0.954","l","2022-12-07","10541"
"https://tienda.mercadona.es/product/10542/leche-semidesnatada-hacendado-botella","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada Hacendado","Botella","1.43","0.954","l","2022-12-07","10542"
"https://tienda.mercadona.es/product/10543/leche-desnatada-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada Hacendado","Pack-6","8.52","0.947","l","2022-12-07","10543"
"https://tienda.mercadona.es/product/10544/leche-desnatada-hacendado-botella","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada Hacendado","Botella","1.42","0.947","l","2022-12-07","10544"
"https://tienda.mercadona.es/product/10545/leche-semidesnatada-sin-lactosa-hacendado-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche semidesnatada sin lactosa Hacendado","Pack-6","9.18","1.020","l","2022-12-07","10545"
"https://tienda.mercadona.es/product/10599/leche-desnatada-asturiana-botella","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche desnatada Asturiana","Botella","1.65","1.100","l","2022-12-07","10599"
"https://tienda.mercadona.es/product/10611/leche-entera-pascual-brick","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera Pascual","Brick","1.19","1.190","l","2022-12-07","10611"
"https://tienda.mercadona.es/product/10618/leche-entera-pascual-pack-6","huevos_leche_y_mantequilla_leche_y_bebidas_vegetales","Leche entera Pascual","Pack-6","7.14","1.190","l","2022-12-07","10618"
"https://tienda.mercadona.es/product/10642/cafe-con-leche-light-sin-lactosa-hacendado-vaso","cacao_cafe_e_infusiones_cafe_soluble_y_otras_bebidas","Café con leche light sin lactosa Hacendado","Vaso","0.95","3.800","l","2022-12-07","10642"
"https://tienda.mercadona.es/product/10644/cafe-con-leche-espresso-hacendado-vaso","cacao_cafe_e_infusiones_cafe_soluble_y_otras_bebidas","Café con leche espresso Hacendado","Vaso","0.80","3.200","l","2022-12-07","10644"
"https://tienda.mercadona.es/product/10666/cafe-con-leche-cappuccino-hacendado-vaso","cacao_cafe_e_infusiones_cafe_soluble_y_otras_bebidas","Café con leche cappuccino Hacendado","Vaso","0.80","3.200","l","2022-12-07","10666"
"https://tienda.mercadona.es/product/10670/bebida-lactea-proteinas-sabor-chocolate-hacendado-26-g-proteinas-brick","postres_y_yogures_yogures_liquidos","Bebida láctea +Proteínas sabor chocolate Hacendado 26 g proteínas","Brick","1.20","3.637","l","2022-12-07","10670"
"https://tienda.mercadona.es/product/10672/cafe-con-leche-descafeinado-hacendado-vaso","cacao_cafe_e_infusiones_cafe_soluble_y_otras_bebidas","Café con leche descafeinado Hacendado","Vaso","0.80","3.200","l","2022-12-07","10672"
